season,checkpoint,team_id,player_id,player_name,age,throws_bats,position,role,proj_pa,proj_ip,steamer_war,zips_war,dc_war,xwoba,barrel_pct,hard_hit_pct,exit_velocity,chase_pct,stuff_plus,location_plus,framing_runs,def_runs,injury_risk
2010,opening_day,ARI,ARI2010o01,ARI Player 01,28.7571,R/R,C,position_player,575.5789,0.0000,3.3083,2.8620,3.2340,0.3415,13.0239,40.9492,88.2713,22.6813,0.0000,0.0000,5.4250,0.8466,0.3078
2010,opening_day,ARI,ARI2010o02,ARI Player 02,23.2112,S/R,1B,position_player,574.8327,0.0000,3.7256,3.4548,3.5544,0.3578,9.5613,53.5508,93.5640,28.6548,0.0000,0.0000,0.0000,-4.0799,0.1926
2010,opening_day,ARI,ARI2010o03,ARI Player 03,22.6895,L/R,2B,position_player,556.6744,0.0000,2.7079,2.5806,3.0833,0.3664,14.4147,42.1635,87.2715,29.4615,0.0000,0.0000,0.0000,-1.5699,0.1876
2010,opening_day,ARI,ARI2010o04,ARI Player 04,21.9044,L/R,3B,position_player,667.0372,0.0000,2.9721,2.9543,3.0415,0.3494,8.2946,41.6891,91.6746,25.4817,0.0000,0.0000,0.0000,-0.2195,0.1526
2010,opening_day,ARI,ARI2010o05,ARI Player 05,28.1528,S/R,SS,position_player,537.8443,0.0000,2.1048,1.9270,2.0745,0.3293,7.7490,44.2019,90.5878,22.0783,0.0000,0.0000,0.0000,3.5650,0.1166
2010,opening_day,ARI,ARI2010o06,ARI Player 06,25.3606,R/R,LF,position_player,606.0125,0.0000,2.4394,2.2055,2.3127,0.3623,8.4502,42.2540,89.2338,25.9425,0.0000,0.0000,0.0000,2.8980,0.0766
2010,opening_day,ARI,ARI2010o07,ARI Player 07,23.2361,R/R,CF,position_player,328.1531,0.0000,1.9826,2.5241,2.1159,0.3177,14.4150,38.1219,91.1705,33.4352,0.0000,0.0000,0.0000,-1.2857,0.1525
2010,opening_day,ARI,ARI2010o08,ARI Player 08,29.3212,R/L,RF,position_player,396.2091,0.0000,1.9362,1.9770,2.1394,0.3343,9.2851,44.0530,88.4941,30.5171,0.0000,0.0000,0.0000,-0.3611,0.0793
2010,opening_day,ARI,ARI2010o09,ARI Player 09,33.9129,L/L,DH,position_player,579.0760,0.0000,2.0067,2.0432,1.7459,0.3300,10.2507,47.2531,88.2565,26.2585,0.0000,0.0000,0.0000,-0.4406,0.1325
2010,opening_day,ARI,ARI2010o10,ARI Player 10,27.8688,S/R,OF,bench,126.2912,0.0000,1.7271,1.7742,1.7156,0.3634,10.9840,44.4818,87.0729,24.4678,0.0000,0.0000,0.0000,-7.0275,0.0829
2010,opening_day,ARI,ARI2010o11,ARI Player 11,23.2520,L/L,IF,bench,339.6049,0.0000,0.2078,0.5244,0.5725,0.3269,7.7366,34.7718,88.3148,33.7934,0.0000,0.0000,0.0000,-1.7974,0.3102
2010,opening_day,ARI,ARI2010o12,ARI Player 12,26.9122,R/L,C,bench,156.8849,0.0000,0.5039,0.5261,0.5033,0.3232,10.9293,40.9534,89.1035,28.4904,0.0000,0.0000,2.5415,2.4970,0.1755
2010,opening_day,ARI,ARI2010o13,ARI Player 13,29.1133,L/R,UT,bench,324.4713,0.0000,1.2177,1.1142,1.0014,0.3469,8.7954,35.6685,87.5430,32.7279,0.0000,0.0000,0.0000,0.4849,0.2757
2010,opening_day,ARI,ARI2010o14,ARI Player 14,25.8781,R/L,SP1,starter,0.0000,55.4473,0.1326,0.0571,0.1690,0.0000,0.0000,0.0000,0.0000,0.0000,95.0550,87.3883,0.0000,0.0000,0.1506
2010,opening_day,ARI,ARI2010o15,ARI Player 15,35.3187,L/R,SP2,starter,0.0000,45.0000,0.3370,0.6124,0.3641,0.0000,0.0000,0.0000,0.0000,0.0000,100.8549,108.0814,0.0000,0.0000,0.2843
2010,opening_day,ARI,ARI2010o16,ARI Player 16,27.6485,L/R,SP3,starter,0.0000,45.0000,-0.2318,-0.2432,-0.0621,0.0000,0.0000,0.0000,0.0000,0.0000,108.5000,95.1894,0.0000,0.0000,0.1184
2010,opening_day,ARI,ARI2010o17,ARI Player 17,28.0124,R/L,SP4,starter,0.0000,45.0000,0.3632,0.6262,0.4922,0.0000,0.0000,0.0000,0.0000,0.0000,93.6258,101.5221,0.0000,0.0000,0.2115
2010,opening_day,ARI,ARI2010o18,ARI Player 18,32.0649,S/R,SP5,starter,0.0000,45.0000,0.2945,0.7216,0.3686,0.0000,0.0000,0.0000,0.0000,0.0000,101.3268,97.6799,0.0000,0.0000,0.1718
2010,opening_day,ARI,ARI2010o19,ARI Player 19,30.8320,R/R,SP6,starter,0.0000,45.0000,0.0489,-0.1942,-0.2248,0.0000,0.0000,0.0000,0.0000,0.0000,96.2150,104.8231,0.0000,0.0000,0.0769
2010,opening_day,ARI,ARI2010o20,ARI Player 20,29.1528,L/L,SP7,starter,0.0000,45.0000,0.2667,-0.1735,0.1890,0.0000,0.0000,0.0000,0.0000,0.0000,107.5247,100.6389,0.0000,0.0000,0.0100
2010,opening_day,ARI,ARI2010o21,ARI Player 21,28.5121,L/R,RP1,reliever,0.0000,60.4364,1.0083,0.8229,0.8879,0.0000,0.0000,0.0000,0.0000,0.0000,87.4553,103.2340,0.0000,0.0000,0.1480
2010,opening_day,ARI,ARI2010o22,ARI Player 22,35.1496,R/R,RP2,reliever,0.0000,51.1497,1.2927,1.2038,1.3236,0.0000,0.0000,0.0000,0.0000,0.0000,110.1338,100.6718,0.0000,0.0000,0.2868
